trade,name,spd,reason,market,qty,target,current,change,%change,active,xdate
B,3BBIF,-1,RD50Pct,SET,10000,5.25,5.3,0.05,0.952381,1,2022-11-13
B,AIMIRT,-4,RND05pct,SET,5000,10.2,10.6,0.1,0.952381,1,2024-11-26
B,CPNREIT,-12,RD40Pct,SET,5000,10.8,12.0,0.1,0.840336,1,2024-11-26
B,DIF,-6,RD40Pct,SET,5000,8.3,8.6,0.15,1.775148,1,2024-11-14
B,GVREIT,-5,RND20Pct,SET,6000,6.25,6.5,0.05,0.775194,1,2024-08-28
B,JMART,-21,RND65pct,SET50,3200,11.2,13.3,0.0,0.0,0,2024-09-30
B,KCE,3,RND70pct,SET100,1000,25.0,24.7,-0.1,-0.403226,1,2022-08-26
B,MCS,-16,RD50Pct,SET,5000,5.8,6.6,0.0,0.0,0,2024-08-23
B,NER,2,RD40pct,SET,6000,4.7,4.66,-0.04,-0.851064,1,2024-08-23
B,SENA,-20,RD60pct,SET,7000,1.92,2.24,0.0,0.0,0,2024-05-10
B,TFFIF,-8,RD20Pct,SET,5000,6.0,6.4,0.05,0.787402,1,2023-12-12
B,WHAIR,-11,RD30pct,SET,5000,6.0,6.55,0.0,0.0,0,2024-11-21
S,AWC,70,COS,SET50,9000,4.96,3.56,0.02,0.564972,0,2024-05-09
S,BCH,63,COS,SET100,2000,21.7,15.4,0.1,0.653595,0,2024-08-29
S,JMT,166,COS,SET50,900,50.0,18.3,-0.1,-0.543478,0,2024-08-22
S,PTG,47,COS,SET100,3600,11.4,8.3,0.0,0.0,0,2024-11-26
S,RCL,43,RD60pct,SET100,3000,38.75,28.0,0.0,0.0,0,2024-11-21
S,SINGER,188,RD75pct,SET100,3000,24.8,7.95,0.1,1.273885,0,2024-05-03
S,SYNEX,-504,RD70pct,SET,2000,0.0,15.4,0.4,2.666667,0,2024-08-27
S,TVO,22,DTD,SET,4000,25.25,22.8,-0.1,-0.436681,0,2022-12-22
S,WHART,20,COS,SET,10000,12.1,10.1,0.25,2.538071,0,2024-11-25
