name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
SYNEX,2.33,15.4,15.05,78.14,1373649,771103
DIF,2.08,8.6,8.425,3.69,5876441,5667164
PTTGC,0.83,24.3,24.1,7.69,11577375,10750726
3BBIF,0.47,5.3,5.275,30.7,13914868,10646165
GVREIT,0.39,6.5,6.475,21.5,76700,63125
PTG,0.0,8.3,8.3,25.66,1831137,1457229
TOA,0.0,14.7,14.7,96.86,3498383,1777090
SCC,-0.29,170.0,170.5,56.63,2065933,1319016
TMT,-0.63,3.14,3.16,291.36,206104,52663
TVO,-0.65,22.8,22.95,98.27,188935,95291
ASP,-0.85,2.32,2.34,84.63,866281,469201
IVL,-0.97,25.5,25.75,39.53,16508467,11831872
NER,-1.48,4.66,4.73,66.2,5270940,3171416
