name,date,price,maxp,minp,qty,opnp
ACE,2023-05-26,1.96,1.98,1.91,18606327,1.91
ADVANC,2023-05-26,212.0,213.0,210.0,2330453,211.0
AEONTS,2023-05-26,197.5,199.0,197.5,162357,199.0
AH,2023-05-26,34.75,35.25,34.0,2240493,34.0
AIE,2023-05-26,1.53,1.55,1.52,597026,1.54
AIMIRT,2023-05-26,12.0,12.0,11.9,106320,12.0
AIT,2023-05-26,5.05,5.15,5.05,472555,5.1
AJ,2023-05-26,9.55,9.55,9.45,105700,9.5
AMATA,2023-05-26,22.2,22.5,21.8,8119783,22.0
ANAN,2023-05-26,1.03,1.03,1.01,1844326,1.01
