name,date,price,change,%change,open,high,low,volume,daily_volume
PTTGC,2023-02-10,50.0,-0.5,-0.9900990099009901,50.5,50.5,50.0,4606685,231499.54625
QH,2023-02-10,2.36,0.02,0.8547008547008547,2.34,2.36,2.32,9614960,22507.760879999998
RATCH,2023-02-10,42.75,0.0,0.0,42.75,43.0,42.5,904509,38640.671
RBF,2023-02-10,12.7,0.0,0.0,12.7,12.8,12.7,446512,5671.1736
RCL,2023-02-10,30.5,0.0,0.0,30.5,30.75,30.25,711935,21726.8725
RJH,2023-02-10,30.5,0.0,0.0,30.75,30.75,30.5,33510,1026.28875
ROJNA,2023-02-10,6.4,0.0,0.0,6.35,6.4,6.35,539722,3430.0247999999997
RS,2023-02-10,18.1,0.0,0.0,18.0,18.2,18.0,2534880,45858.248
S11,2023-02-10,5.35,0.05,0.9433962264150944,5.35,5.35,5.3,54825,292.75425
SABUY,2023-02-10,13.0,0.1,0.7751937984496124,12.9,13.2,12.8,9688485,126485.8512
SAPPE,2023-02-10,52.0,-0.75,-1.4218009478672986,52.75,52.75,51.5,207652,10780.61725
SAT,2023-02-10,21.2,0.0,0.0,21.2,21.2,21.0,244701,5161.1612000000005
SAWAD,2023-02-10,55.75,0.75,1.3636363636363635,55.5,56.0,55.0,3582947,198663.1075
SC,2023-02-10,4.58,0.04,0.8810572687224669,4.54,4.58,4.48,5411869,24445.30616
SCB,2023-02-10,102.0,-1.5,-1.4492753623188406,103.5,103.5,100.5,14980752,1526256.7075
SCC,2023-02-10,338.0,0.0,0.0,337.0,340.0,337.0,1079234,365560.024
SCCC,2023-02-10,155.5,-0.5,-0.32051282051282054,156.0,156.5,155.5,49801,7769.4565
SCGP,2023-02-10,52.0,-0.5,-0.9523809523809523,52.75,52.75,51.75,4295806,224709.0745
SENA,2023-02-10,3.94,-0.02,-0.5050505050505051,3.96,3.98,3.94,305812,1211.06176
SINGER,2023-02-10,27.25,-0.25,-0.9090909090909091,27.25,27.5,27.0,759410,20724.30775
SIRI,2023-02-10,1.87,0.02,1.0810810810810811,1.86,1.88,1.85,58893639,109707.26239
SIS,2023-02-10,26.5,0.25,0.9523809523809523,26.25,26.5,26.25,25214,662.4925
SKN,2023-02-10,5.3,0.05,0.9523809523809523,5.3,5.3,5.2,104908,551.58195
SMPC,2023-02-10,13.1,0.0,0.0,13.2,13.2,13.1,114538,1505.0616
SNC,2023-02-10,14.5,0.0,0.0,14.5,14.5,14.3,168381,2425.7722000000003
SPALI,2023-02-10,24.6,0.4,1.6528925619834711,24.1,24.6,23.9,6044115,146679.8639
SPCG,2023-02-10,14.5,0.0,0.0,14.6,14.6,14.3,204425,2941.3996
SPRC,2023-02-10,11.4,0.0,0.0,11.3,11.4,11.2,5105002,57365.589
SPRIME,2023-02-10,7.25,-0.05,-0.684931506849315,7.3,7.3,7.25,6200,45.015
SSP,2023-02-10,9.75,-0.1,-1.015228426395939,9.85,9.85,9.7,557469,5450.84555
STA,2023-02-10,24.2,0.1,0.4149377593360996,24.0,24.3,24.0,2904238,70232.0013
STANLY,2023-02-10,186.5,0.0,0.0,186.5,187.0,185.5,49711,9254.6505
STARK,2023-02-10,2.78,-0.04,-1.4184397163120568,2.8,2.82,2.76,23945625,66767.66664
STGT,2023-02-10,11.4,0.1,0.8849557522123894,11.3,11.5,11.2,5510501,62462.8111
SUPER,2023-02-10,0.63,0.01,1.6129032258064515,0.63,0.63,0.62,1998764,1245.18356
SYNEX,2023-02-10,16.5,-0.1,-0.6024096385542169,16.6,16.7,16.4,701444,11593.418
TASCO,2023-02-10,18.1,0.0,0.0,18.1,18.3,17.9,2797352,50709.8339
TCAP,2023-02-10,43.0,0.25,0.5847953216374269,42.75,43.0,42.5,538875,23041.7555
TFFIF,2023-02-10,8.15,0,0,8.15,8.2,8.15,2729130,22242.5645
THANI,2023-02-10,4.04,-0.02,-0.49261083743842365,4.04,4.06,4.04,2223126,8984.55356
THG,2023-02-10,69.0,0.25,0.36363636363636365,68.75,69.0,68.5,599856,41279.67875
TIDLOR,2023-02-10,29.25,-0.25,-0.847457627118644,29.5,29.75,29.0,3864357,113220.4115
TIPH,2023-02-10,50.5,-0.5,-0.9803921568627451,51.0,51.0,50.0,884884,44784.511
TIPCO,2023-02-10,9.1,0.0,0.0,9.1,9.1,9.05,30801,280.27909999999997
TISCO,2023-02-10,102.0,0.0,0.0,102.0,102.5,102.0,443910,45332.541
TK,2023-02-10,8.25,-0.1,-1.1976047904191616,8.35,8.35,8.2,743563,6132.10995
TKN,2023-02-10,11.2,-0.2,-1.7543859649122806,11.3,11.4,11.2,1241010,14014.593
TKS,2023-02-10,13.2,0.0,0.0,13.2,13.4,13.1,919553,12151.6944
TMT,2023-02-10,8.05,0.0,0.0,8.05,8.05,8.0,110767,891.2661999999999
TOA,2023-02-10,34.0,-0.75,-2.158273381294964,34.5,34.5,33.75,501488,17080.938
TOP,2023-02-10,56.25,-0.25,-0.4424778761061947,56.5,56.75,56.0,4045217,228346.23593
TPIPL,2023-02-10,1.84,0.01,0.546448087431694,1.83,1.84,1.82,1326640,2429.3966
TPIPP,2023-02-10,3.4,0.0,0.0,3.4,3.4,3.38,691356,2347.5352000000003
TQM,2023-02-10,42.75,-0.25,-0.5813953488372093,43.0,43.0,42.25,349900,14858.875
TRUE,2023-02-10,4.92,-0.02,-0.4048582995951417,4.9,4.92,4.86,5305931,25967.18218
TSE,2023-02-10,2.54,-0.04,-1.550387596899225,2.6,2.6,2.54,1249443,3201.41294
TSTH,2023-02-10,1.11,0.0,0.0,1.11,1.12,1.1,1093119,1212.38626
TTA,2023-02-10,8.0,0.0,0.0,8.0,8.05,7.95,497101,3969.98805
TTB,2023-02-10,1.41,0.01,0.7142857142857143,1.4,1.41,1.39,188573230,264022.10278
TTLPF,2023-02-10,22.6,0,0,22.6,22.7,22.6,7600,171.79
TTW,2023-02-10,9.45,-0.05,-0.5263157894736842,9.45,9.5,9.35,3518569,33117.96595
TU,2023-02-10,15.9,0.1,0.6329113924050633,15.8,15.9,15.8,2654485,42042.0363
TVI,2023-02-10,12.3,0.0,0.0,12.3,12.5,12.2,47400,586.69
TVO,2023-02-10,29.0,0.25,0.8695652173913043,29.0,29.0,28.75,195286,5650.46325
UTP,2023-02-10,15.5,0.0,0.0,15.5,15.5,15.4,53227,823.972
VGI,2023-02-10,4.94,0.06,1.2295081967213115,4.92,4.94,4.88,4442949,21856.21432
VIBHA,2023-02-10,2.74,0.0,0.0,2.74,2.74,2.72,136358,371.54292
VNG,2023-02-10,5.3,0.05,0.9523809523809523,5.25,5.3,5.25,184900,974.72
WHA,2023-02-10,3.9,-0.02,-0.5102040816326531,3.92,3.94,3.88,26934096,105409.6746
WHAIR,2023-02-10,7.9,-0.05,-0.6289308176100629,7.95,7.95,7.85,186810,1471.4995
WHART,2023-02-10,11.6,0,0,11.6,11.7,11.5,237303,2752.9647999999997
WHAUP,2023-02-10,4.1,0.0,0.0,4.1,4.12,4.06,914900,3742.882
WICE,2023-02-10,11.4,0.0,0.0,11.4,11.6,11.4,386595,4439.0414
WORK,2023-02-10,18.4,0.1,0.546448087431694,18.4,18.4,18.3,43900,804.53
