name,qtrly,shares,amount,net,xdate,paiddate,cost_amt,pct,actual
AH,0.96,1200,1152.0,1036.8,2023-08-29,2023-09-13,44400.0,2.34,0
AIMIRT,0.223,10000,2230.0,2007.0,2023-11-24,2023-12-13,110000.0,1.82,1
ASK,1.44,4500,6480.0,5832.0,2023-02-28,2023-04-27,139500.0,4.18,0
ASP,0.13,30000,3900.0,3510.0,2023-08-28,2023-09-12,114000.0,3.08,0
BCH,0.4,4000,1600.0,1440.0,2023-08-31,2023-09-14,86800.0,1.66,0
CPNREIT,0.0607,60000,3642.0,3277.8,2023-11-23,2023-12-07,1053000.0,0.31,1
DIF,0.2535,30000,7605.0,6844.5,2023-11-14,2023-12-08,441000.0,1.55,1
GVREIT,0.198,60000,11880.0,10692.0,2023-12-12,2023-12-25,474000.0,2.26,1
IVL,0.4,7200,2880.0,2592.0,2023-11-29,2023-12-14,288000.0,0.9,1
JASIF,0.23,130000,29900.0,26910.0,2023-11-17,2023-12-06,1300000.0,2.07,1
JMART,0.66,6800,4488.0,4039.2,2023-08-24,2023-09-08,224400.0,1.8,0
JMT,0.59,4200,2478.0,2230.2,2023-08-24,2023-09-08,233100.0,0.96,0
KCE,0.6,10000,6000.0,5400.0,2023-08-21,2023-09-07,772500.0,0.7,0
MCS,0.2,78000,15600.0,14040.0,2023-03-17,2023-05-08,1177800.0,1.19,0
NER,0.31,27000,8370.0,7533.0,2023-08-25,2023-09-08,201150.0,3.74,0
ORI,0.57,45000,25650.0,23085.0,2023-08-28,2023-09-13,495000.0,4.66,0
PTTGC,0.25,6000,1500.0,1350.0,2023-08-29,2023-09-13,388500.0,0.35,0
RCL,1.0,27000,27000.0,24300.0,2023-08-24,2023-09-08,1046250.0,2.32,0
SCC,2.0,600,1200.0,1080.0,2023-08-09,2023-08-25,243000.0,0.44,0
SENA,0.0784,105000,8232.0,7408.8,2023-08-28,2023-09-12,470400.0,1.58,0
SINGER,0.26,6000,1560.0,1404.0,2023-08-03,2023-08-19,148800.0,0.94,0
STA,1.0,5000,5000.0,4500.0,2023-08-24,2023-09-08,200000.0,2.25,0
SYNEX,0.52,15000,7800.0,7020.0,2023-08-25,2023-09-06,430500.0,1.63,0
TFFIF,0.1032,20000,2064.0,1857.6,2023-12-12,2023-12-28,150000.0,1.24,1
TMT,0.15,36000,5400.0,4860.0,2023-08-24,2023-09-08,367200.0,1.32,0
TOA,0.25,1000,250.0,225.0,2023-08-30,2023-09-14,26000.0,0.87,0
WHAIR,0.1218,50000,6090.0,5481.0,2023-11-24,2023-12-20,435000.0,1.26,1
WHART,0.1265,20000,2530.0,2277.0,2023-11-24,2023-12-12,246000.0,0.93,1
