date,item,amount,kind,type
2022-05-26,Books & Software,360,Edutainment,6
2022-05-26,Pets,3730,Pets,8
2022-05-28,Mother,2880,Mother,9
2022-05-28,Food,180,Food,1
2022-05-29,Pets,5190,Pets,8
2022-05-30,Food,180,Food,1
2022-05-30,Pets,4180,Pets,8
2022-05-31,Food,190,Food,1
2022-05-31,Parent,10000,Parent,7
2022-05-31,Internet Home,640,Communication,5
2022-05-31,CCF,600,Luxury,6
2022-05-31,Packt,340,Edutainment,6
2022-05-31,Telephone Dtac,320,Communication,5
2022-05-31,Monthly Prime,190,Edutainment,6
2022-05-31,Google,170,Edutainment,6
2022-05-31,Apple,100,Edutainment,6
2022-05-31,Patreon,70,Edutainment,6
2022-05-31,Apple,40,Edutainment,6
2022-06-01,Pets,480,Pets,8
2022-06-03,Shelter,23200,Shelter,3
2022-06-03,Food,260,Food,1
2022-06-03,Personal Care,330,Apparel,2
2022-06-08,Food,1900,Food,1
2022-06-08,Fuel,1430,Transportation,5
2022-06-11,Pets,4440,Pets,8
2022-06-11,Mother,2350,Mother,9
2022-06-11,Mother,4460,Mother,9
2022-06-11,Food,260,Food,1
2022-06-13,Food,200,Food,1
2022-06-16,Medicine,6470,Medicine,4
2022-06-16,Medicine,380,Medicine,4
2022-06-16,Food,530,Food,1
2022-06-17,Merit Making,8000,Others,6
2022-06-18,Food,40,Food,1
2022-06-18,Merit Making,100,Others,6
2022-06-18,Transportation,140,Transportation,5
2022-06-20,Food,110,Food,1
2022-06-22,Food,420,Food,1
2022-06-24,Pets,3840,Pets,8
2022-06-26,Food,460,Food,1
2022-06-28,Food,800,Food,1
2022-06-30,Parent,10000,Parent,7
2022-06-30,Internet Home,640,Communication,5
2022-06-30,Packt,340,Edutainment,6
2022-06-30,Telephone Dtac,320,Communication,5
2022-06-30,Google,170,Edutainment,6
2022-06-30,Patreon,70,Edutainment,6
2022-06-30,Netflix,420,Edutainment,6
2022-07-09,Food,570,Food,1
2022-07-09,Mother,4200,Mother,9
2022-07-09,Mother,2850,Mother,9
2022-07-12,Medicine,2060,Medicine,4
2022-07-12,Fuel,1470,Transportation,5
2022-07-25,Food,180,Food,1
2022-07-26,Food,360,Food,1
2022-07-29,Food,180,Food,1
2022-07-29,Personal Care,700,Apparel,2
2022-07-30,Books & Software,2290,Edutainment,6
2022-07-31,Parent,10000,Parent,7
2022-07-31,Internet Home,640,Communication,5
2022-07-31,Packt,340,Edutainment,6
2022-07-31,Telephone Dtac,320,Communication,5
2022-07-31,Google,170,Edutainment,6
2022-07-31,Apple,100,Edutainment,6
2022-07-31,Patreon,70,Edutainment,6
2022-07-31,Apple,40,Edutainment,6
2022-07-31,Netflix,420,Edutainment,6
2022-08-02,Food,370,Food,1
2022-08-02,Merit Making,1000,Others,6
2022-08-04,Shelter,3200,Shelter,3
2022-08-05,Food,590,Food,1
2022-08-06,Mother,6000,Mother,9
2022-08-09,Plum,24400,Shelter,3
2022-08-10,Food,4230,Food,1
2022-08-11,Food,180,Food,1
2022-08-15,Food,290,Food,1
2022-08-18,Pets,620,Pets,8
2022-08-24,Food,150,Food,1
2022-08-24,Food,180,Food,1
2022-08-26,Food,180,Food,1
2022-08-31,Food,450,Food,1
2022-08-31,Parent,10000,Parent,7
2022-08-31,Internet Home,640,Communication,5
2022-08-31,Netflix,420,Edutainment,6
2022-08-31,Packt,340,Edutainment,6
2022-08-31,Telephone Dtac,320,Communication,5
2022-08-31,Google,170,Edutainment,6
2022-08-31,Apple,100,Edutainment,6
2022-08-31,Patreon,70,Edutainment,6
2022-08-31,Apple,40,Edutainment,6
2022-09-03,Food,180,Food,1
2022-09-03,Mother,7920,Mother,9
2022-09-03,Mother,2000,Mother,9
2022-09-05,Food,360,Food,1
2022-09-12,Funeral,10000,Others,6
2022-09-12,Fuel,1330,Transportation,5
2022-09-15,Transportation,290,Transportation,5
2022-09-19,Food,620,Food,1
2022-09-23,Food,370,Food,1
2022-09-27,Food,180,Food,1
2022-09-30,Parent,10000,Parent,7
2022-09-30,Internet Home,640,Communication,5
2022-09-30,Netflix,420,Edutainment,6
2022-09-30,Packt,340,Edutainment,6
2022-09-30,Telephone Dtac,320,Communication,5
2022-09-30,Google,170,Edutainment,6
2022-09-30,Apple,100,Edutainment,6
2022-09-30,Food,70,Food,1
2022-09-30,Apple,40,Edutainment,6
2022-10-03,Food,200,Food,1
2022-10-06,Merit Making,5000,Others,6
2022-10-06,Pets,4600,Pets,8
2022-10-08,Mother,3470,Mother,9
2022-10-08,Food,200,Food,1
2022-10-08,Books & Software,1960,Edutainment,6
2022-10-08,Mother,2500,Mother,9
2022-10-12,Medicine,7920,Medicine,4
2022-10-17,Food,140,Food,1
2022-10-21,Transportation,400,Transportation,5
2022-10-23,Funeral,3000,Others,6
2022-10-24,Transportation,200,Transportation,5
2022-10-24,Food,210,Food,1
2022-10-27,Merit Making,100,Others,6
2022-10-28,Food,540,Food,1
2022-10-31,Parent,10000,Parent,7
2022-10-31,Internet Home,640,Communication,5
2022-10-31,Netflix,420,Edutainment,6
2022-10-31,Telephone Dtac,320,Communication,5
2022-10-31,Google,170,Edutainment,6
2022-10-31,Apple,100,Edutainment,6
2022-10-31,Apple,40,Edutainment,6
2022-10-31,Shelter,29000,Shelter,3
2022-11-03,Pets,3410,Pets,8
2022-11-05,Mother,3820,Mother,9
2022-11-05,Mother,2400,Mother,9
2022-11-07,Food,280,Food,1
2022-11-08,Books & Software,2900,Edutainment,6
2022-11-08,Pets,2880,Pets,8
2022-11-09,Medicine,11570,Medicine,4
2022-11-12,Transportation,400,Transportation,5
2022-11-14,Food,300,Food,1
2022-11-14,Fuel,1310,Transportation,5
2022-11-16,Books & Software,1150,Edutainment,6
2022-11-18,Food,620,Food,1
2022-11-21,Food,260,Food,1
2022-11-23,Food,100,Food,1
2022-11-23,Medicine,2860,Medicine,4
2022-11-26,Yearly Pluralsight,3500,Edutainment,6
2022-11-29,Plum,-11500,Shelter,3
2022-11-30,Parent,10000,Parent,7
2022-11-30,Internet Home,640,Communication,5
2022-11-30,Netflix,420,Edutainment,6
2022-11-30,Telephone Dtac,320,Communication,5
2022-11-30,Google,170,Edutainment,6
2022-11-30,Apple,100,Edutainment,6
2022-11-30,Apple,40,Edutainment,6
2022-12-06,Pets,4600,Pets,8
2022-12-07,Food,190,Food,1
2022-12-17,Food,200,Food,1
2022-12-17,Mother,7090,Mother,9
2022-12-19,Food,580,Food,1
2022-12-23,Food,170,Food,1
2022-12-30,Pets,4700,Pets,8
2022-12-31,Food,110,Food,1
2022-12-31,Personal Care,200,Apparel,2
2022-12-31,Parent,10000,Parent,7
2022-12-31,Internet Home,640,Communication,5
2022-12-31,Netflix,420,Edutainment,6
2022-12-31,Telephone Dtac,320,Communication,5
2022-12-31,Google,170,Edutainment,6
2022-12-31,Apple,100,Edutainment,6
2022-12-31,Apple,40,Edutainment,6
