name,date,price,change,%change,open,high,low,volume,value(m)
GFPT,2023-07-03,12.6,-0.2,-1.5625,12.8,12.8,12.5,3575826,45162.0609
GLOBAL,2023-07-03,15.8,0.0,0.0,16.0,16.1,15.6,3852250,60803.9026
GPSC,2023-07-03,54.5,0.25,0.460829,54.5,54.75,53.5,5828091,316316.13525
GULF,2023-07-03,46.75,0.0,0.0,46.75,47.25,46.5,19837103,926347.10875
GUNKUL,2023-07-03,3.16,-0.02,-0.628931,3.18,3.22,3.1,22416889,70523.72026
GVREIT,2023-07-03,8.45,0.1,1.197605,8.3,8.45,8.3,58103,490.60335
HANA,2023-07-03,46.75,-0.5,-1.058201,48.0,48.0,46.25,5997810,283039.8395
HFT,2023-07-03,4.62,0.04,0.873362,4.58,4.62,4.58,27801,128.21460000000002
HMPRO,2023-07-03,14.0,0.0,0.0,14.0,14.1,13.9,5728878,80181.18490000001
HTC,2023-07-03,36.25,-0.25,-0.684932,36.5,36.5,35.75,476064,17244.24925
ICHI,2023-07-03,13.8,0.0,0.0,13.7,14.0,13.5,7147745,98377.2563
III,2023-07-03,11.1,0.0,0.0,11.2,11.2,10.9,1002921,11028.541
ILM,2023-07-03,21.2,-0.6,-2.752294,21.8,21.8,21.2,768300,16443.75
IMPACT,2023-07-03,13,0.2,1.5625,12.8,13,12.7,253801,3272.1728
INTUCH,2023-07-03,72.5,-1.5,-2.027027,74.25,74.5,72.0,4029498,293014.4605
IRPC,2023-07-03,2.3,0.02,0.877193,2.3,2.32,2.26,21952855,50272.58468
IVL,2023-07-03,34.5,0.25,0.729927,34.5,34.5,33.75,9453506,323505.48325
JASIF,2023-07-03,7.1,0.05,0.70922,7.05,7.1,7.05,2895511,20464.58
JMART,2023-07-03,17.1,1.2,7.54717,15.8,17.4,15.2,43547035,712314.6237
JMT,2023-07-03,39.25,1.75,4.666667,38.0,39.25,37.25,15346307,590221.04675
KBANK,2023-07-03,131.5,2.0,1.544402,130.0,131.5,129.5,7383240,965034.2355
KCE,2023-07-03,38.5,-0.5,-1.282051,39.25,39.75,38.5,5606478,218797.54275
KEX,2023-07-03,9.95,-0.15,-1.485149,10.1,10.1,9.85,2096803,20867.78985
KGI,2023-07-03,4.5,0.08,1.809955,4.42,4.5,4.4,2987751,13403.42368
KKP,2023-07-03,60.25,0.5,0.83682,60.0,60.25,59.5,1251340,75000.69425
KSL,2023-07-03,3.08,-0.02,-0.645161,3.1,3.1,3.04,3356228,10282.392240000001
KTB,2023-07-03,19.4,0.0,0.0,19.4,19.4,19.2,24626041,475265.2553
KTC,2023-07-03,49.5,0.0,0.0,49.5,49.75,48.75,2173127,106989.2785
LANNA,2023-07-03,14.9,0.1,0.675676,15.0,15.0,14.7,534155,7930.905900000001
LH,2023-07-03,8.45,0.0,0.0,8.5,8.5,8.4,15072767,127277.97005
LPF,2023-07-03,12.9,0.1,0.78125,12.9,12.9,12.7,102020,1305.5683999999999
LPN,2023-07-03,4.12,0.04,0.980392,4.1,4.12,4.04,1324928,5397.340480000001
M,2023-07-03,46.5,0.25,0.540541,46.5,46.5,46.0,393817,18198.99775
MACO,2023-07-03,0.5,0.0,0.0,0.5,0.51,0.49,1167588,582.34988
MAJOR,2023-07-03,14.6,0.0,0.0,14.6,14.7,14.4,1961601,28448.875600000003
MC,2023-07-03,12.4,-0.1,-0.8,12.6,12.6,12.3,1233635,15357.3829
MCS,2023-07-03,6.35,0.0,0.0,6.4,6.4,6.3,171293,1087.4849
MEGA,2023-07-03,38.0,0.5,1.333333,37.75,38.25,37.5,1163666,44027.991
MINT,2023-07-03,34.5,0.25,0.729927,34.5,34.75,34.25,13180777,454811.80625
MST,2023-07-03,10.6,0,0,10.6,10.6,10.5,102800,1089.62
MTC,2023-07-03,39.75,0.5,1.273885,39.5,39.75,38.5,5960026,234211.01975
NER,2023-07-03,4.56,0.02,0.440529,4.56,4.56,4.52,2656599,12067.926599999999
NOBLE,2023-07-03,4.22,0.02,0.47619,4.2,4.22,4.18,470959,1973.0199599999999
ONEE,2023-07-03,5.1,-0.15,-2.857143,5.25,5.25,5.0,2994926,15279.210949999999
OR,2023-07-03,21.1,-0.1,-0.471698,21.2,21.2,20.9,9658393,203622.3985
ORI,2023-07-03,10.2,-0.4,-3.773585,10.6,10.6,10.1,9100929,93324.41040000001
OSP,2023-07-03,29.75,0.0,0.0,30.0,30.0,29.5,4904660,145496.60185
PLANB,2023-07-03,8.15,0.1,1.242236,8.1,8.25,8.05,10506306,85349.00795
POPF,2023-07-03,10.1,0,0,10.1,10.1,10,707381,7098.6947
PRM,2023-07-03,6.2,0.1,1.639344,6.2,6.25,6.1,927146,5709.8731
PSH,2023-07-03,12.9,0.3,2.380952,12.8,13.0,12.6,1206645,15491.9864
PSL,2023-07-03,9.15,-0.15,-1.612903,9.25,9.3,9.05,4762852,43542.61805
PTG,2023-07-03,12.3,0.1,0.819672,12.2,12.3,12.0,2888987,35151.325
PTL,2023-07-03,14.2,0.4,2.898551,14.0,14.3,13.8,1371084,19350.094699999998
PTT,2023-07-03,33.75,0.25,0.746269,33.75,33.75,33.25,53846822,1800828.0465
PTTEP,2023-07-03,152.0,2.0,1.333333,150.5,152.0,149.5,4771870,719792.8185
PTTGC,2023-07-03,37.75,0.5,1.342282,37.75,38.25,37.0,10604807,399582.12425
RATCH,2023-07-03,36.25,0.5,1.398601,36.0,36.25,36.0,1912066,69046.27125
RBF,2023-07-03,10.7,-0.1,-0.925926,10.8,10.9,10.5,1918310,20548.4774
RCL,2023-07-03,24.1,0.4,1.687764,23.9,24.2,23.7,1866569,44606.260200000004
RJH,2023-07-03,28.5,0.5,1.785714,28.0,28.5,28.0,228912,6476.57
ROJNA,2023-07-03,5.65,-0.05,-0.877193,5.7,5.7,5.6,185218,1046.87655
RS,2023-07-03,14.0,-0.9,-6.040268,15.0,15.1,13.8,18002129,256129.76140000002
S11,2023-07-03,4.5,0,0,4.46,4.5,4.46,76515,342.1735
SABUY,2023-07-03,9.0,0.05,0.558659,8.95,9.0,8.8,7679336,68304.8263
SAPPE,2023-07-03,80.75,-0.5,-0.615385,81.0,81.75,79.25,502691,40446.48275
SAT,2023-07-03,18.9,0.0,0.0,19.0,19.0,18.8,365133,6878.8911
SAWAD,2023-07-03,48.25,1.0,2.116402,48.25,48.25,47.0,7642127,365112.471
SC,2023-07-03,4.48,0.12,2.752294,4.4,4.5,4.36,11901390,52959.022320000004
SCB,2023-07-03,107.5,1.0,0.938967,107.5,108.0,106.5,14113019,1511901.6635
SCC,2023-07-03,326.0,4.0,1.242236,323.0,326.0,320.0,1680508,543375.363
SCCC,2023-07-03,140.0,0.5,0.358423,139.5,140.5,138.5,95888,13405.5195
SCGP,2023-07-03,37.25,0.0,0.0,37.5,37.5,36.75,3230790,119977.22275
SENA,2023-07-03,3.02,0.04,1.342282,2.98,3.02,2.96,188706,563.65998
SINGER,2023-07-03,9.35,0.35,3.888889,9.0,9.35,8.75,8911862,80977.8609
