Symbol,Date,Trading-Sign,Last,Change,%Change,Open,High,Low,TR-Volume,TR-Value-(k),Total-Volume,Total-Value-(k),Bid-Size,Bid,Offer,Offer-Size,Sector,Volume,Value,Unnamed:-8,Unnamed:-9,Unnamed:-10,Unnamed:-11,Unnamed:-12,Unnamed:-13,Unnamed:-14,Unnamed:-15,Market,SET,Industry,-Property-&-Construction,Property-Fund-&-REITs,Unnamed:-6,Unnamed:-7,-Services,Transportation-&-Logistics,-Technology,Information-&-Communication-Technology
CPN,2023-02-01,-,72.25,0.0,0.0,72.5,72.75,71.75,0.0,0.0,3188262.0,230511.013,193100.0,72.0,72.25,292900.0,,,,,,,,,,,,,,,,,,,,,,
CRC,2023-02-01,-,44.25,0.75,1.7241379310344827,44.0,44.75,43.75,0.0,0.0,14143316.0,624763.7715,1027500.0,44.25,44.5,1647100.0,,,,,,,,,,,,,,,,,,,,,,
DDD,2023-02-01,-,17.0,-0.2,-1.1627906976744187,17.4,17.4,17.0,0.0,0.0,183501.0,3146.0775,40300.0,17.0,17.1,17900.0,,,,,,,,,,,,,,,,,,,,,,
DELTA,2023-02-01,-,912.0,14.0,1.55902004454343,908.0,944.0,904.0,0.0,0.0,2920624.0,2697599.018,16400.0,912.0,914.0,16200.0,,,,,,,,,,,,,,,,,,,,,,
DEMCO,2023-02-01,-,4.8,-0.2,-4.0,5.0,5.0,4.78,0.0,0.0,3796187.0,18573.674649999997,146200.0,4.8,4.82,219700.0,,,,,,,,,,,,,,,,,,,,,,
DMT,2023-02-01,-,13.1,0.0,0.0,13.2,13.2,13.0,0.0,0.0,942321.0,12326.243,141100.0,13.0,13.1,53400.0,,,,,,,,,,,,,,,,,,,,,,
DOHOME,2023-02-01,-,13.8,0.0,0.0,13.9,13.9,13.6,0.0,0.0,3186159.0,43801.4624,1557000.0,13.7,13.8,852800.0,,,,,,,,,,,,,,,,,,,,,,
DRT,2023-02-01,-,8.25,-0.05,-0.6024096385542169,8.4,8.4,8.25,0.0,0.0,216949.0,1803.1293999999998,11200.0,8.25,8.3,219700.0,,,,,,,,,,,,,,,,,,,,,,
DTAC,2023-02-01,-,50.0,0.0,0.0,50.0,50.25,49.75,0.0,0.0,3952667.0,197687.46275,985600.0,49.75,50.0,540200.0,,,,,,,,,,,,,,,,,,,,,,
EA,2023-02-01,-,87.0,-1.0,-1.1363636363636365,88.5,88.75,86.75,0.0,0.0,10884150.0,953803.255,443100.0,86.75,87.0,447800.0,,,,,,,,,,,,,,,,,,,,,,
EASTW,2023-02-01,-,5.35,0.0,0.0,5.4,5.4,5.35,0.0,0.0,648797.0,3497.4528999999998,264700.0,5.35,5.4,110600.0,,,,,,,,,,,,,,,,,,,,,,
EGCO,2023-02-01,-,175.0,-0.5,-0.2849002849002849,175.5,175.5,173.5,0.0,0.0,445412.0,77638.5645,28100.0,174.5,175.0,46900.0,,,,,,,,,,,,,,,,,,,,,,
EKH,2023-02-01,-,8.9,-0.05,-0.5586592178770949,8.95,9.0,8.85,0.0,0.0,837655.0,7465.9288,382400.0,8.85,8.9,118700.0,,,,,,,,,,,,,,,,,,,,,,
EP,2023-02-01,-,4.24,0.0,0.0,4.24,4.24,4.22,0.0,0.0,83300.0,353.01,65200.0,4.22,4.24,20200.0,,,,,,,,,,,,,,,,,,,,,,
EPG,2023-02-01,-,8.75,-0.1,-1.1299435028248588,8.8,8.85,8.7,0.0,0.0,2242918.0,19592.3334,244800.0,8.7,8.75,364400.0,,,,,,,,,,,,,,,,,,,,,,
ESSO,2023-02-01,-,9.3,0.0,0.0,9.3,9.35,9.25,0.0,0.0,11943949.0,111127.28035,4852600.0,9.3,9.35,2960800.0,,,,,,,,,,,,,,,,,,,,,,
ETC,2023-02-01,-,4.38,-0.14,-3.0973451327433628,4.54,4.54,4.28,0.0,0.0,15276937.0,67393.07542000001,41900.0,4.38,4.4,584000.0,,,,,,,,,,,,,,,,,,,,,,
FORTH,2023-02-01,-,44.5,-0.25,-0.5586592178770949,44.75,46.25,44.5,0.0,0.0,4357579.0,197604.588,213000.0,44.5,44.75,111400.0,,,,,,,,,,,,,,,,,,,,,,
GFPT,2023-02-01,-,13.3,-0.3,-2.2058823529411766,13.6,13.6,13.3,0.0,0.0,4186690.0,55900.585,65100.0,13.3,13.4,523400.0,,,,,,,,,,,,,,,,,,,,,,
GJS,2023-02-01,-,0.35,0.0,0.0,0.36,0.36,0.35,0.0,0.0,11308790.0,3960.9864,2410100.0,0.35,0.36,11164700.0,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2023-02-01,-,20.6,-0.4,-1.9047619047619047,20.9,20.9,20.4,0.0,0.0,10360578.0,213224.70630000002,498900.0,20.5,20.6,722700.0,,,,,,,,,,,,,,,,,,,,,,
GPSC,2023-02-01,-,69.5,-0.75,-1.0676156583629892,70.5,70.5,69.0,0.0,0.0,3316955.0,230869.50575,461100.0,69.25,69.5,347400.0,,,,,,,,,,,,,,,,,,,,,,
GULF,2023-02-01,-,53.75,-0.75,-1.3761467889908257,54.25,54.5,53.75,0.0,0.0,7040094.0,380276.98425,1752200.0,53.75,54.0,1407900.0,,,,,,,,,,,,,,,,,,,,,,
GUNKUL,2023-02-01,-,5.0,0.0,0.0,5.05,5.05,4.96,0.0,0.0,41608995.0,207588.49680000002,5952200.0,4.98,5.0,2800800.0,,,,,,,,,,,,,,,,,,,,,,
HANA,2023-02-01,-,64.5,4.0,6.6115702479338845,61.5,64.5,61.0,0.0,0.0,24643503.0,1555315.369,390600.0,64.25,64.5,730500.0,,,,,,,,,,,,,,,,,,,,,,
