name,date,open,high,low,price,volume
PTG,2020-12-23,16.5,16.6,16.3,16.3,9544789
PTG,2020-12-24,16.4,16.5,16.2,16.4,10056191
PTG,2020-12-25,16.4,16.7,16.3,16.5,10534424
PTG,2020-12-28,16.5,16.6,16.2,16.2,7289648
PTG,2020-12-29,16.2,16.3,16.0,16.3,8865465
PTG,2020-12-30,16.3,16.7,15.8,15.9,21783241
PTG,2021-01-04,15.6,16.0,15.5,16.0,10381791
PTG,2021-01-05,15.9,16.5,15.9,16.5,23154149
PTG,2021-01-06,17.0,17.4,16.8,17.0,54430884
PTG,2021-01-07,17.3,17.4,16.8,16.9,20082647
PTG,2021-01-08,17.1,17.2,16.5,16.7,16417315
PTG,2021-01-11,16.8,17.0,16.5,16.5,15112813
PTG,2021-01-12,16.6,16.8,16.4,16.7,19889474
PTG,2021-01-13,16.8,17.0,16.6,16.8,30053840
PTG,2021-01-14,16.8,16.9,16.6,16.6,14764153
PTG,2021-01-15,17.0,17.4,16.9,17.2,76278034
PTG,2021-01-18,17.2,17.9,17.2,17.8,76000267
PTG,2021-01-19,18.0,18.2,17.7,17.7,51387860
PTG,2021-01-20,17.8,18.0,17.7,17.8,16477631
PTG,2021-01-21,17.9,18.0,17.5,17.6,20277696
PTG,2021-01-22,17.6,17.6,17.0,17.1,29149475
PTG,2021-01-25,17.2,17.6,17.0,17.6,22629336
PTG,2021-01-26,17.6,17.8,17.5,17.6,23139152
PTG,2021-01-27,17.7,17.8,17.4,17.4,9712577
PTG,2021-01-28,17.2,17.4,17.0,17.0,14743511
PTG,2021-01-29,17.2,17.3,16.9,17.2,16254555
PTG,2021-02-01,17.2,17.3,17.0,17.3,8984579
PTG,2021-02-02,17.4,17.7,17.4,17.6,17713689
PTG,2021-02-03,17.7,17.8,17.3,17.3,21006416
PTG,2021-02-04,17.3,17.5,17.1,17.2,10758575
PTG,2021-02-05,17.3,18.0,17.2,18.0,51404155
PTG,2021-02-08,18.3,18.4,18.0,18.2,54746682
PTG,2021-02-09,18.3,18.4,18.1,18.2,25301926
PTG,2021-02-10,18.2,18.7,18.2,18.2,50694410
PTG,2021-02-11,18.3,18.9,18.1,18.8,78031382
PTG,2021-02-15,18.9,19.2,18.7,18.7,51850499
PTG,2021-02-16,18.9,19.0,18.4,18.5,40055069
PTG,2021-02-17,18.5,18.6,18.2,18.3,27970277
PTG,2021-02-18,18.4,20.1,18.3,19.7,201785060
PTG,2021-02-19,19.6,19.8,19.1,19.5,77940791
PTG,2021-02-22,19.5,19.6,18.1,18.3,84271720
PTG,2021-02-23,18.6,18.8,18.4,18.7,25941535
PTG,2021-02-24,18.7,18.9,18.4,18.4,17671698
PTG,2021-02-25,18.7,19.4,18.6,19.4,43494848
PTG,2021-03-01,19.0,19.7,19.0,19.1,35516165
PTG,2021-03-02,19.2,20.5,19.1,20.5,103647145
PTG,2021-03-03,20.7,21.0,20.4,20.7,66101100
PTG,2021-03-04,20.7,21.9,20.5,21.0,102271259
PTG,2021-03-05,21.0,21.4,20.8,21.0,38502794
PTG,2021-03-08,21.5,21.7,21.0,21.1,48126755
PTG,2021-03-09,21.2,21.9,20.5,20.8,99315605
PTG,2021-03-10,20.9,21.0,20.7,21.0,24564425
PTG,2021-03-11,20.6,20.9,20.5,20.5,20242066
PTG,2021-03-12,20.6,20.9,20.5,20.8,17983299
PTG,2021-03-15,21.0,21.1,20.7,20.8,15152869
PTG,2021-03-16,20.9,21.0,20.7,20.7,11187541
PTG,2021-03-17,20.8,20.8,20.2,20.4,45717017
PTG,2021-03-18,20.6,20.6,20.0,20.1,36505988
PTG,2021-03-19,20.0,20.1,19.7,20.0,27519919
PTG,2021-03-22,20.1,20.6,20.0,20.4,40440473
PTG,2021-03-23,20.6,20.9,20.4,20.6,53307578
PTG,2021-03-24,20.4,20.5,20.3,20.3,21582002
PTG,2021-03-25,20.5,20.6,20.2,20.3,20610927
PTG,2021-03-26,20.4,20.6,20.2,20.5,28283768
PTG,2021-03-29,20.6,20.8,20.4,20.5,21054475
PTG,2021-03-30,20.6,20.9,20.4,20.8,24748429
PTG,2021-03-31,21.0,21.0,20.6,20.6,22880341
PTG,2021-04-01,20.7,21.0,20.7,20.9,24863565
PTG,2021-04-02,21.0,21.1,20.7,20.8,14964167
PTG,2021-04-05,20.8,20.9,20.2,20.4,21116771
PTG,2021-04-07,20.1,20.4,19.9,20.2,23177738
PTG,2021-04-08,20.1,20.5,20.0,20.2,15615863
PTG,2021-04-09,20.3,20.7,20.2,20.4,14671708
PTG,2021-04-12,20.3,20.4,19.8,19.8,18935324
PTG,2021-04-16,19.7,20.3,19.6,20.1,19799571
PTG,2021-04-19,20.2,20.3,20.1,20.2,5706954
PTG,2021-04-20,20.3,20.6,20.2,20.5,18227652
PTG,2021-04-21,20.4,20.7,20.3,20.7,16124344
PTG,2021-04-22,20.8,20.9,20.1,20.3,24841058
PTG,2021-04-23,20.3,20.4,19.8,19.9,17409878
PTG,2021-04-26,19.9,20.0,19.6,19.9,15030445
PTG,2021-04-27,19.9,20.2,19.8,19.8,12998145
PTG,2021-04-28,19.9,20.3,19.9,20.1,12386773
PTG,2021-04-29,20.2,20.4,20.0,20.0,13716931
PTG,2021-04-30,20.1,20.3,20.0,20.1,9513582
PTG,2021-05-05,20.2,20.3,19.8,19.8,12877895
PTG,2021-05-06,19.9,20.1,19.8,20.0,13220039
PTG,2021-05-07,20.1,20.1,19.8,20.0,10133528
PTG,2021-05-10,20.1,21.0,20.0,21.0,57129582
PTG,2021-05-11,20.8,21.1,20.4,20.9,47555249
PTG,2021-05-12,20.9,20.9,20.3,20.5,31593102
PTG,2021-05-13,20.3,20.5,18.7,20.0,37196355
PTG,2021-05-14,20.3,20.4,19.2,19.4,37825818
PTG,2021-05-17,19.4,19.4,18.8,18.9,49466181
PTG,2021-05-18,19.1,19.4,19.0,19.1,26259511
PTG,2021-05-19,19.0,19.3,18.9,19.0,16558648
PTG,2021-05-20,19.1,19.2,18.8,18.9,15108545
PTG,2021-05-21,19.0,19.1,18.6,18.8,26832914
PTG,2021-05-24,18.8,19.0,18.7,18.8,17032435
PTG,2021-05-25,19.0,19.2,18.9,19.0,12517466
PTG,2021-05-27,19.0,19.5,19.0,19.4,21340272
PTG,2021-05-28,19.5,19.5,19.0,19.1,18676564
PTG,2021-05-31,19.2,19.4,19.1,19.4,9315989
PTG,2021-06-01,19.4,19.5,19.2,19.4,18320450
PTG,2021-06-02,19.5,19.8,19.4,19.6,22569494
PTG,2021-06-04,19.7,19.8,19.3,19.3,16727901
PTG,2021-06-07,19.4,19.6,19.3,19.3,9686537
PTG,2021-06-08,19.3,19.5,19.2,19.2,7878108
PTG,2021-06-09,19.2,19.7,19.2,19.4,17940455
PTG,2021-06-10,19.5,19.6,19.3,19.3,11924827
PTG,2021-06-11,19.4,19.6,19.3,19.5,12241232
PTG,2021-06-14,19.5,19.6,19.3,19.4,12394028
PTG,2021-06-15,19.4,19.5,18.6,18.9,21782911
PTG,2021-06-16,19.0,19.3,18.9,19.0,20193721
PTG,2021-06-17,18.9,19.2,18.9,19.1,13356755
PTG,2021-06-18,19.1,19.3,19.0,19.1,9996564
PTG,2021-06-21,19.0,19.1,18.9,19.1,6523664
PTG,2021-06-22,19.1,19.3,19.0,19.1,10275980
PTG,2021-06-23,19.2,19.4,19.0,19.0,27130773
PTG,2021-06-24,19.0,19.1,18.8,19.0,18931057
PTG,2021-06-25,19.1,19.1,18.8,18.8,5837614
PTG,2021-06-28,18.7,19.0,18.6,18.7,11661284
