id,stock_id,name,year,quarter,number,ppu,amt,net,x_date,p_date
360,129,CPNREIT,2022,3,20000,0.3,6000.0,5400.0,2022-11-16,2022-12-02
359,118,PTT,2022,2,4500,1.3,5850.0,5265.0,2022-09-28,2022-10-12
358,95,PTTGC,2022,2,12000,0.75,9000.0,8100.0,2022-09-02,2022-09-21
357,156,WHAIR,2022,2,40000,0.1556,6224.0,5601.6,2022-08-18,2022-09-19
356,27,IVL,2022,2,2400,0.4,960.0,864.0,2022-08-30,2022-09-15
355,169,GVREIT,2022,2,10000,0.201,2010.0,1809.0,2022-08-26,2022-09-14
354,77,BCH,2022,2,21000,0.4,8400.0,7560.0,2022-08-31,2022-09-14
353,125,ORI,2022,2,45000,0.15,6750.0,6075.0,2022-08-26,2022-09-13
352,99,TMT,2022,2,48000,0.15,7200.0,6480.0,2022-09-24,2022-09-09
351,31,SENA,2022,2,105000,0.12692,13326.6,12060.51,2022-09-25,2022-09-09
350,185,KCE,2022,2,15000,1.0,15000.0,14085.0,2022-09-22,2022-09-09
349,204,ASP,2022,2,30000,0.07,2100.0,1890.0,2022-09-24,2022-09-09
348,88,STA,2022,2,22500,1.0,22500.0,20587.5,2022-08-23,2022-09-08
347,188,NER,2022,2,27000,0.07,1890.0,1890.0,2022-08-23,2022-09-07
346,202,CPAXT,2022,2,7500,0.18,1350.0,1215.0,2022-08-22,2022-09-06
345,166,DCC,2022,2,60000,0.035,2100.0,1890.0,2022-08-22,2022-09-06
344,113,SYNEX,2022,2,18000,0.18,3240.0,2916.0,2022-08-22,2022-09-05
343,206,VNG,2022,2,15000,0.1,1500.0,1500.0,2022-08-19,2022-09-02
342,172,WHART,2022,2,30000,0.192,5760.0,5184.0,2022-08-18,2022-09-02
341,192,RCL,2022,2,15000,1.75,26250.0,23625.0,2022-08-18,2022-09-02
340,129,CPNREIT,2022,2,5000,0.28,1400.0,1260.0,2022-08-17,2022-09-02
339,48,JASIF,2022,2,130000,0.23,29900.0,29900.0,2022-08-09,2022-09-06
338,81,DIF,2022,2,40000,0.26,10400.0,10400.0,2022-08-16,2022-09-05
337,131,PTTEP,2022,2,600,4.25,2550.0,2295.0,2022-08-15,2022-08-26
336,86,SCC,2022,2,900,6.0,5400.0,4860.0,2022-08-10,2022-08-26
335,156,WHAIR,2022,1,40000,0.1556,6224.0,5601.6,2022-05-25,2022-06-24
334,27,IVL,2022,1,6000,0.4,2400.0,2160.0,2022-05-31,2022-06-16
333,172,WHART,2022,1,30000,0.1915,5745.0,5170.5,2022-05-30,2022-06-15
332,48,JASIF,2022,1,110000,0.23,25300.0,25300.0,2022-05-20,2022-06-08
331,31,SENA,2021,4,90000,0.211477,19032.93,17316.19,2022-05-11,2022-05-25
330,81,DIF,2022,1,50000,0.26,13000.0,13000.0,2022-05-15,2022-06-06
329,166,DCC,2022,1,60000,0.055,3300.0,2970.0,2022-05-13,2022-05-31
328,77,BCH,2021,4,18000,1.0,18000.0,16200.0,2022-05-10,2022-05-25
327,125,ORI,2021,4,45000,0.42,18900.0,17010.0,2022-05-09,2022-05-24
326,193,RJH,2021,4,4500,1.0,4500.0,4050.0,2022-05-09,2022-05-24
325,192,RCL,2021,4,12000,3.0,36000.0,32700.0,2022-03-23,2022-05-20
324,96,RATCH,2021,4,6000,1.35,8100.0,7290.0,2022-03-17,2022-05-20
323,109,TISCO,2021,4,2000,7.15,14300.0,12870.0,2022-04-29,2022-05-19
322,202,CPAXT,2021,4,3000,0.32,960.0,864.0,2022-03-03,2022-05-19
321,204,ASP,2021,4,30000,0.2,6000.0,5400.0,2022-03-10,2022-05-17
320,203,TPIPL,2021,4,60000,0.06,3600.0,3240.0,2022-03-09,2022-05-17
319,164,SIS,2021,4,4500,1.2,5400.0,4860.0,2022-03-10,2022-05-13
318,14,SPALI,2021,4,9000,0.75,6750.0,6075.0,2022-04-27,2022-05-12
317,185,KCE,2021,4,13000,1.0,13000.0,12402.0,2022-03-21,2022-05-09
316,99,TMT,2021,4,27000,0.7,18900.0,17010.0,2022-04-18,2022-05-06
315,88,STA,2021,4,22500,0.65,14625.0,13387.5,2022-04-19,2022-05-06
314,188,NER,2021,4,27000,0.36,9720.0,9720.0,2022-04-20,2022-05-06
313,113,SYNEX,2021,4,15000,0.52,7800.0,7020.0,2022-03-10,2022-05-05
312,43,MCS,2021,4,50000,0.5,25000.0,24500.0,2022-03-15,2022-05-05
311,118,PTT,2021,4,9000,0.8,7200.0,6480.0,2022-03-03,2022-04-29
310,201,SNC,2021,4,9000,0.45,4050.0,3645.0,2022-03-02,2022-04-27
309,86,SCC,2021,4,900,10.0,9000.0,8100.0,2022-04-07,2022-04-26
308,95,PTTGC,2021,4,9000,1.75,15750.0,14175.0,2022-02-28,2022-04-22
307,127,MEGA,2021,4,6000,0.86,5160.0,4980.0,2022-03-08,2022-04-22
306,138,SCCC,2021,4,900,9.0,8100.0,7290.0,2022-02-24,2022-04-08
305,156,WHAIR,2021,4,40100,0.1738,6969.38,6272.44,2022-03-04,2022-03-30
304,182,AIMIRT,2021,4,10000,0.221,2210.0,1989.0,2022-03-14,2022-03-28
303,172,WHART,2021,4,20000,0.1195,2390.0,2151.0,2022-03-09,2022-03-25
302,48,JASIF,2021,4,110000,0.25,27500.0,27500.0,2022-03-03,2022-03-21
301,81,DIF,2021,4,60000,0.261,15660.0,15660.0,2022-02-10,2022-03-04
300,178,CPNCG,2021,4,10000,0.2222,2222.0,1999.8,2022-02-14,2022-03-04
299,176,LPF,2021,4,10000,0.1719,1719.0,1547.1,2022-01-28,2022-02-15
298,156,WHAIR,2020,4,30000,0.086,2580.0,2322.0,2021-03-03,2021-03-30
297,177,POPF,2021,2,10000,0.247,2470.0,2223.0,2021-08-13,2021-09-03
296,91,BCP,2021,2,6000,1.0,6000.0,5400.0,2021-09-08,2021-09-21
295,166,DCC,2021,3,40000,0.04,1600.0,1440.0,2021-11-19,2021-12-03
294,156,WHAIR,2021,3,10000,0.1738,1738.0,1564.2,2021-11-23,2021-12-23
293,171,EGATIF,2021,3,8000,0.13,1040.0,1040.0,2021-11-30,2021-12-17
292,171,EGATIF,2021,3,8000,0.08,640.0,640.0,2021-11-30,2021-12-17
291,27,IVL,2021,3,21000,0.25,5250.0,4725.0,2021-11-25,2021-12-09
290,43,MCS,2021,3,70000,0.37,25900.0,25200.0,2021-11-25,2021-12-09
289,62,EPG,2021,3,14000,0.14,1960.0,1764.0,2021-11-25,2021-12-08
288,48,JASIF,2021,3,100000,0.22,22000.0,22000.0,2021-11-19,2021-12-08
287,88,STA,2021,3,15000,1.25,18750.0,16875.0,2021-11-19,2021-12-08
286,90,RJH,2021,3,3000,1.1,3300.0,2970.0,2021-11-22,2021-12-07
285,192,RCL,2021,3,4500,1.5,6750.0,6075.0,2021-11-18,2021-12-03
284,81,DIF,2021,3,60000,0.261,15660.0,15660.0,2021-11-11,2021-12-03
283,178,CPNCG,2021,3,20000,0.24,4800.0,4320.0,2021-11-13,2021-12-03
282,177,POPF,2021,3,10000,0.247,2470.0,2223.0,2021-11-11,2021-12-03
281,170,MC,2021,3,10000,0.2,2000.0,1800.0,2021-11-04,2021-11-25
280,118,PTT,2021,2,5000,1.2,6000.0,5400.0,2021-09-29,2021-10-15
279,180,BKI,2021,2,1000,3.5,3500.0,3150.0,2021-09-23,2021-10-08
278,96,RATCH,2021,2,6000,1.15,6900.0,6210.0,2021-09-07,2021-09-23
277,70,KKP,2021,2,3000,0.75,2250.0,2025.0,2021-09-08,2021-09-23
276,160,TPIPP,2021,2,60000,0.12,7200.0,6960.0,2021-09-09,2021-09-22
275,95,PTTGC,2021,2,8000,2.0,16000.0,14400.0,2021-08-23,2021-09-21
274,156,WHAIR,2021,2,30000,0.1738,5214.0,4692.6,2021-08-23,2021-09-21
273,43,MCS,2021,2,70000,0.4,28000.0,26460.0,2021-09-03,2021-09-15
272,27,IVL,2021,2,24000,0.25,6000.0,5400.0,2021-08-27,2021-09-15
271,165,TVO,2021,2,6000,1.3,7800.0,7020.0,2021-08-27,2021-09-10
270,161,TOA,2021,2,3000,0.31,930.0,837.0,2021-08-27,2021-09-10
269,99,TMT,2021,2,15000,0.6,9000.0,8100.0,2021-08-27,2021-09-10
268,184,CHG,2021,2,50000,0.03,1500.0,1350.0,2021-08-23,2021-09-10
267,185,KCE,2021,2,3600,0.6,2160.0,2080.8,2021-08-23,2021-09-08
266,169,GVREIT,2021,2,10000,0.196,1960.0,1764.0,2021-08-23,2021-09-08
265,181,TQM,2021,2,1800,1.45,2610.0,2349.0,2021-08-26,2021-09-09
264,183,SINGER,2021,2,6000,0.15,900.0,810.0,2021-08-24,2021-09-09
263,125,ORI,2021,2,25000,0.12,3000.0,2700.0,2021-08-24,2021-09-09
262,7,LH,2021,2,24000,0.25,6000.0,5400.0,2021-08-24,2021-09-09
261,155,TU,2021,2,12000,0.45,5400.0,4860.0,2021-08-23,2021-09-07
260,134,SAT,2021,2,10000,0.4,4000.0,3650.7,2021-08-25,2021-09-07
259,145,NOBLE,2021,2,30000,0.35,10500.0,9450.0,2021-08-24,2021-09-07
258,88,STA,2021,2,7500,1.25,9375.0,8625.0,2021-08-23,2021-09-08
257,158,JMART,2021,2,3000,0.4,1200.0,1080.0,2021-08-23,2021-09-08
