id,stock_id,date,year,month,price,qty,amt,net,status,kind
529,115,2018-06-21,2018,6,23.5,3000,70500.0,70656.16,Sold,SS
530,30,2018-06-21,2018,6,18.1,6000,108600.0,108840.54,Sold,NBS
548,133,2018-08-10,2018,8,6.5,45000,292500.0,293147.86,Sold,TP
532,30,2018-06-26,2018,6,18.1,6000,108600.0,108840.54,Sold,NBS
551,136,2018-04-26,2018,4,175.0,600,105000.0,105232.56,Sold,TP
534,65,2018-06-27,2018,6,62.0,4500,279000.0,279617.96,Sold,TP
535,95,2018-06-29,2018,6,75.5,2000,151000.0,151334.45,Sold,SS
552,114,2017-09-20,2017,9,19.0,4000,76000.0,76168.33,Sold,TP
539,66,2018-03-02,2018,3,8.3,10000,83000.0,83183.84,Sold,TP
540,28,2018-07-19,2018,7,7.88,15000,118200.0,118461.8,Sold,TP
541,66,2018-03-02,2018,3,8.3,100,830.0,831.84,Sold,TP
575,95,2018-10-24,2018,10,75.5,2000,151000.0,151334.45,Sold,SS
576,28,2018-01-23,2018,1,8.2,15000,123000.0,123272.43,Sold,XP
577,125,2018-11-07,2018,11,9.4,5000,47000.0,47104.1,Sold,DTD
578,125,2018-11-12,2018,11,9.4,5000,47000.0,47104.1,Sold,DTD
579,125,2018-11-13,2018,11,9.4,5000,47000.0,47104.1,Sold,DTD
580,110,2018-11-13,2018,11,10.3,6000,61800.0,61936.89,Sold,DIV
616,27,2019-05-13,2019,5,49.0,3000,147000.0,147325.59,Sold,SS
612,141,2019-04-10,2019,4,12.1,30000,363000.0,363804.01,Sold,HD
585,125,2018-11-15,2018,11,9.4,5000,47000.0,47104.1,Sold,DTD
586,7,2018-11-16,2018,11,10.45,6000,62700.0,62838.88,Sold,DIV
587,110,2018-11-20,2018,11,10.3,6000,61800.0,61936.89,Sold,DIV
588,113,2018-11-20,2018,11,12.9,10000,129000.0,129285.72,Sold,SS
469,7,2018-02-06,2018,2,10.8,30000,324000.0,324717.63,Sold,HD
542,84,2018-07-25,2018,7,27.5,12000,330000.0,330730.92,Sold,TP
556,81,2018-09-07,2018,9,14.95,40000,598000.0,599324.51,Sold,HD
544,119,2018-08-02,2018,8,71.25,2500,178125.0,178519.53,Sold,TP
545,138,2018-08-07,2018,8,230.0,1200,276000.0,276611.31,Sold,TP
546,119,2018-08-07,2018,8,71.25,5000,356250.0,357039.06,Sold,TP
547,50,2018-08-07,2018,8,7.0,30000,210000.0,210465.13,Sold,TP
